,Unnamed: 0,ref_publisher_id,ref_app_id,platform,day_date,impressions,clicks,spend,installs,ad_revenue_d0,iap_d0,retention_users_d0,ad_revenue_d1,iap_d1,retention_users_d1,installs_with_nan,spend_with_nan,clicks_with_nan,impressions_with_nan,ad_revenue_d0_with_nan,ad_revenue_d1_with_nan,retention_users_d0_with_nan,retention_users_d1_with_nan,iap_d0_with_nan,iap_d1_with_nan,dimset,publisher,metric,year,month,day,weekday,quarter,monthInQuarter,weekend,partOfMonth
183,183,1019,73319,1,2023-10-25,934381.0,226954.0,4618.924002999999,22510.0,2299.2733429999994,0.0,0.0,2758.1815380000003,0.0,0.0,22510.0,4618.924002999999,226954.0,934381.0,2299.2733429999994,2758.1815380000003,,,,,218,1019,80,2023,9,24,2,3,0,0,2
184,184,1019,73319,1,2023-10-26,1105500.0,231071.0,4646.063072999999,22890.0,2288.584232921514,0.0,0.0,2755.030964610992,0.0,0.0,22890.0,4646.063072999999,231071.0,1105500.0,2288.584232921514,2755.030964610992,,,,,218,1019,80,2023,9,25,3,3,0,0,2
185,185,1019,73319,1,2023-10-27,1219382.0,260426.0,5384.1846669999995,26956.0,2680.405169265743,0.0,0.0,3255.585159314741,0.0,0.0,26956.0,5384.1846669999995,260426.0,1219382.0,2680.405169265743,3255.585159314741,,,,,218,1019,80,2023,9,26,4,3,0,0,2
186,186,1019,73319,1,2023-10-28,1434995.0,309686.0,7515.209487999998,37615.0,3769.55112781173,0.0,0.0,4536.00401781173,0.0,0.0,37615.0,7515.209487999998,309686.0,1434995.0,3769.55112781173,4536.00401781173,,,,,218,1019,80,2023,9,27,5,3,0,1,2
187,187,1019,73319,1,2023-10-29,1585497.0,349251.0,7983.447826999998,43664.0,4291.688538485256,0.0,0.0,4878.986701485257,0.0,0.0,43664.0,7983.447826999998,349251.0,1585497.0,4291.688538485256,4878.986701485257,,,,,218,1019,80,2023,9,28,6,3,0,1,2
188,188,1019,73319,1,2023-10-30,1152421.0,253431.0,5347.112209000001,30574.0,2771.5883547676885,0.0,0.0,3229.1947821743365,0.0,0.0,30574.0,5347.112209000001,253431.0,1152421.0,2771.5883547676885,3229.1947821743365,,,,,218,1019,80,2023,9,29,0,3,0,0,2
189,189,1019,73319,1,2023-10-31,1105986.0,259363.0,5120.655884,28719.0,2479.366144402221,0.0,0.0,2958.001566402221,0.0,0.0,28719.0,5120.655884,259363.0,1105986.0,2479.366144402221,2958.001566402221,,,,,218,1019,80,2023,9,30,1,3,0,0,3
190,190,1019,73319,1,2023-11-01,1449474.0,277322.0,5415.587822,30716.0,2620.328155759926,0.0,0.0,3173.557852858778,0.0,0.0,30716.0,5415.587822,277322.0,1449474.0,2620.328155759926,3173.557852858778,,,,,218,1019,80,2023,10,0,2,3,1,0,0
191,191,1019,73319,1,2023-11-02,1475086.0,297399.0,5955.29463,32150.0,2927.3860949162768,0.0,0.0,3522.6216589162755,0.0,0.0,32150.0,5955.29463,297399.0,1475086.0,2927.3860949162768,3522.6216589162755,,,,,218,1019,80,2023,10,1,3,3,1,0,0
192,192,1019,73319,1,2023-11-03,1360178.0,293202.0,6248.096393,33899.0,3254.0706912059204,0.0,0.0,3928.4584281428656,0.0,0.0,33899.0,6248.096393,293202.0,1360178.0,3254.0706912059204,3928.4584281428656,,,,,218,1019,80,2023,10,2,4,3,1,0,0
193,193,1019,73319,1,2023-11-04,1619636.0,389444.0,8910.089545,44223.0,4528.14326153897,0.0,0.0,5449.917552538973,0.0,0.0,44223.0,8910.089545,389444.0,1619636.0,4528.14326153897,5449.917552538973,,,,,218,1019,80,2023,10,3,5,3,1,1,0
194,194,1019,73319,1,2023-11-05,1677028.0,358075.0,8310.173902,41091.0,4346.845510357587,0.0,0.0,4991.974120357587,0.0,0.0,41091.0,8310.173902,358075.0,1677028.0,4346.845510357587,4991.974120357587,,,,,218,1019,80,2023,10,4,6,3,1,1,0
195,195,1019,73319,1,2023-11-06,1189902.0,230795.0,5220.092056,26628.0,2742.059476324534,0.0,0.0,3273.850984976885,0.0,0.0,26628.0,5220.092056,230795.0,1189902.0,2742.059476324534,3273.850984976885,,,,,218,1019,80,2023,10,5,0,3,1,0,0
196,196,1019,73319,1,2023-11-07,1184828.0,268533.0,6120.275484999998,27986.0,3091.769067337963,0.0,0.0,3665.4575343379615,0.0,0.0,27986.0,6120.275484999998,268533.0,1184828.0,3091.769067337963,3665.4575343379615,,,,,218,1019,80,2023,10,6,1,3,1,0,0
197,197,1019,73319,1,2023-11-08,1283287.0,237262.0,5279.607919000001,25304.0,2619.222072858822,0.0,0.0,3138.7160148588214,0.0,0.0,25304.0,5279.607919000001,237262.0,1283287.0,2619.222072858822,3138.7160148588214,,,,,218,1019,80,2023,10,7,2,3,1,0,0
198,198,1019,73319,1,2023-11-09,1186203.0,260337.0,5923.876221000001,26651.0,2733.588214553931,0.0,0.0,3295.7386895539307,0.0,0.0,26651.0,5923.876221000001,260337.0,1186203.0,2733.588214553931,3295.7386895539307,,,,,218,1019,80,2023,10,8,3,3,1,0,0
199,199,1019,73319,1,2023-11-10,1951720.0,335054.0,8125.738544,34013.0,3671.152538403905,0.0,0.0,4488.824948403906,0.0,0.0,34013.0,8125.738544,335054.0,1951720.0,3671.152538403905,4488.824948403906,,,,,218,1019,80,2023,10,9,4,3,1,0,0
200,200,1019,73319,1,2023-11-11,2486059.0,398678.0,9416.307078,42539.0,4681.626182868465,0.0,0.0,5561.71198686846,0.0,0.0,42539.0,9416.307078,398678.0,2486059.0,4681.626182868465,5561.71198686846,,,,,218,1019,80,2023,10,10,5,3,1,1,1
201,201,1019,73319,1,2023-11-12,2080032.0,372797.0,8772.215622000002,40535.0,4342.143834859859,0.0,0.0,4978.522619412892,0.0,0.0,40535.0,8772.215622000002,372797.0,2080032.0,4342.143834859859,4978.522619412892,,,,,218,1019,80,2023,10,11,6,3,1,1,1
202,202,1019,73319,1,2023-11-13,1567841.0,277271.0,5927.639228999999,27332.0,2705.503915,0.0,0.0,3260.5360509204284,0.0,0.0,27332.0,5927.639228999999,277271.0,1567841.0,2705.503915,3260.5360509204284,,,,,218,1019,80,2023,10,12,0,3,1,0,1
203,203,1019,73319,1,2023-11-14,1574234.0,281304.0,5877.914271999999,26939.0,2736.1777291169697,0.0,0.0,3325.829191776018,0.0,0.0,26939.0,5877.914271999999,281304.0,1574234.0,2736.1777291169697,3325.829191776018,,,,,218,1019,80,2023,10,13,1,3,1,0,1
204,204,1019,73319,1,2023-11-15,1623237.0,259786.0,5199.639559999999,25446.0,2630.6366982104723,0.0,0.0,3132.6862192104727,0.0,0.0,25446.0,5199.639559999999,259786.0,1623237.0,2630.6366982104723,3132.6862192104727,,,,,218,1019,80,2023,10,14,2,3,1,0,1
